OverallQual,GrLivArea,GarageCars,LotArea,OverallCond,BedroomAbvGr,KitchenAbvGr,SalePrice
7,1710,2,8450,5,3,1,208500
6,1262,2,9600,8,3,1,181500
7,1786,2,11250,5,3,1,223500
7,1717,3,9550,5,3,1,140000
8,2198,3,14260,5,4,1,250000
5,1362,2,14115,5,1,1,143000
8,1694,2,10084,5,3,1,307000
7,2090,2,10382,6,3,1,200000
7,1774,2,6120,5,2,2,129900
5,1077,1,7420,6,2,2,118000
5,1040,1,11200,5,3,1,129500
9,2324,3,11924,5,4,1,345000
5,912,1,12968,6,2,1,144000
7,1494,3,10652,5,3,1,279500
6,1253,1,10920,5,2,1,157000
7,854,2,6120,8,2,1,132000
6,1004,2,11241,7,2,1,149000
4,1296,2,10791,5,2,2,90000
5,1114,2,13695,5,3,1,159000
5,1339,1,7560,6,3,1,139000
8,2376,3,14215,5,4,1,325300
7,1108,1,7449,7,3,1,139400
8,1795,2,9742,5,3,1,230000
5,1060,2,4224,7,3,1,129900
5,1060,1,8246,8,3,1,154000
8,1600,3,14230,5,3,1,256300
5,900,2,7200,7,3,1,134800
8,1704,3,11478,5,3,1,306000
5,1600,1,16321,6,2,1,207500
4,520,1,6324,6,1,1,68500
4,1317,1,8500,4,3,1,40000
5,1228,1,8544,6,3,1,149350
8,1234,2,11049,5,3,1,179900
5,1700,2,10552,5,4,1,165500
9,1561,2,7313,5,2,1,277500
8,2452,3,13418,5,4,1,309000
5,1097,2,10859,5,3,1,145000
5,1297,2,8532,6,3,1,153000
5,1057,1,7922,7,3,1,109000
4,1152,0,6040,5,2,2,82000
6,1324,2,8658,5,3,1,160000
5,1328,1,16905,6,2,1,170000
5,884,2,9180,7,2,1,144000
5,938,1,9200,6,3,1,130250
5,1150,1,7945,6,3,1,141000
9,1752,2,7658,5,2,1,319900
7,2149,2,12822,5,1,1,239686
8,1656,3,11096,5,3,1,249700
4,1452,0,4456,5,2,3,113000
5,955,1,7742,7,3,1,127000
6,1470,2,13869,6,3,1,177000
6,1176,2,6240,6,3,1,114500
5,816,2,8472,5,2,1,110000
9,1842,3,50271,5,0,1,385000
5,1360,2,7134,5,3,1,130000
6,1425,2,10175,5,3,1,180500
8,1739,2,2645,5,3,1,172500
7,1720,2,11645,5,3,1,196500
10,2945,3,13682,5,3,1,438780
5,780,1,7200,7,2,1,124900
6,1158,2,13072,5,3,1,158000
5,1111,1,7200,7,3,1,101000
8,1370,2,6442,5,2,1,202500
7,1710,2,10300,6,3,1,140000
7,2034,2,9375,5,3,1,219500
8,2473,3,9591,5,4,1,317000
7,2207,2,19900,5,3,1,180000
7,1479,2,10665,5,3,1,226000
4,747,1,4608,6,2,1,80000
7,2287,2,15593,4,3,1,225000
7,2223,2,13651,6,3,1,244000
4,845,2,7599,6,2,1,129500
7,1718,2,10141,5,3,1,185000
5,1086,2,10200,7,3,1,144900
3,1605,1,5790,6,3,2,107400
4,988,1,1596,5,2,1,91000
4,952,1,8475,7,2,1,135750
5,1285,1,8635,5,2,1,127000
4,1768,0,10778,5,4,2,136500
5,1230,2,10440,6,2,1,110000
6,2142,1,13000,6,4,1,193500
6,1337,2,4500,5,2,1,153500
8,1563,3,10206,5,3,1,245000
5,1065,2,8892,5,3,1,126500
7,1474,2,8530,5,3,1,168500
8,2417,2,16059,5,4,1,260000
6,1560,2,11911,5,3,1,174000
6,1224,2,3951,5,2,1,164500
3,1526,0,8470,2,2,1,85000
4,990,0,8070,5,3,1,123600
4,1040,2,7200,5,2,1,109900
5,1235,2,8500,3,2,1,98600
5,964,2,13360,7,2,1,163500
6,2291,2,7200,6,4,2,133900
6,1786,2,9337,5,3,1,204750
6,1470,2,9765,8,3,1,185000
7,1588,2,10264,5,3,1,214000
4,960,1,10921,5,3,1,94750
5,835,1,10625,5,2,1,83000
4,1225,0,9320,5,3,1,128950
6,1610,2,10603,7,3,1,205000
6,1732,2,9206,5,3,1,178000
5,1535,2,7018,5,4,2,118964
7,1226,3,10402,5,3,1,198900
7,1818,1,7758,4,4,1,169500
8,1992,2,9375,5,3,1,250000
4,1047,1,10800,7,2,1,100000
5,789,1,6000,5,2,1,115000
5,1517,0,8500,7,3,1,115000
6,1844,2,11751,6,3,1,190000
6,1855,1,9525,4,4,1,136900
7,1430,2,7750,5,3,1,180000
7,2696,3,9965,5,4,1,383970
6,2259,2,21000,5,3,1,217000
6,2320,1,7259,8,3,1,259500
6,1458,2,3230,5,2,1,176000
5,1092,1,11616,5,3,1,139000
5,1125,2,8536,5,2,1,155000
7,3222,3,12376,5,5,1,320000
6,1456,2,8461,5,3,1,163990
6,988,2,21453,5,1,1,180000
4,1123,1,6060,5,3,1,100000
6,1080,1,9464,7,3,1,136000
6,1199,2,7892,5,2,1,153900
6,1586,2,17043,5,3,1,181000
6,754,0,6780,8,2,1,84500
6,958,2,4928,5,2,1,128000
5,840,0,4388,7,3,1,87000
6,1348,2,7590,5,3,1,155000
5,1053,2,8973,7,3,1,150000
7,2157,2,14200,6,4,1,226000
6,2054,2,12224,5,3,1,244000
5,1327,2,7388,6,3,1,150750
8,1296,2,6853,5,2,1,220000
5,1721,2,10335,6,3,1,180000
